label,weight,height
2955,138.5,66.0
2956,232.0,63.0
2962,225.0,75.0
2963,126.0,63.0
2964,158.0,66.0
2965,224.0,71.0
2966,168.0,72.0
2967,150.0,64.0
2970,134.0,65.0
2973,174.0,71.0
2976,115.0,60.0
2978,151.0,67.5
2983,114.0,65.0
2988,144.0,67.0
2989,133.0,71.0
2992,243.0,65.0
2994,159.0,66.0
2999,153.0,73.0
3005,147.0,67.5
3006,197.0,68.5
3007,124.0,64.0
3010,133.0,67.0
3011,216.0,69.0
3012,188.0,67.75
3013,199.0,68.0
3015,113.0,64.0
3016,68.0,59.0
3025,216.0,70.0
3027,143.0,65.0
3031,135.0,63.0
3032,61.0,52.0
3034,197.0,65.0
3037,153.0,68.0
3041,111.5,59.5
3044,169.0,65.0
3049,119.5,63.0
3052,190.0,69.0
3053,123.0,63.0
3060,182.0,69.0
3063,132.0,67.0
3064,109.0,62.0
3067,175.0,69.0
3070,179.0,64.0
3075,137.5,64.25
3079,193.0,75.5
3080,126.0,63.0
3082,156.0,65.0
3083,169.0,69.0
3084,137.5,61.0
3085,275.0,69.0
3089,208.0,69.0
3090,118.0,62.0
3093,156.0,72.0
3097,276.0,72.0
3102,173.0,69.0
3104,144.0,66.0
3105,199.5,72.5
3106,97.0,58.0
3107,192.0,75.0
3113,186.0,68.0
3116,138.0,65.0
3121,113.0,62.0
3122,163.0,63.0
3126,264.0,68.0
3128,142.0,68.0
3129,185.0,68.0
3130,109.0,61.0
3140,190.0,71.0
3145,164.0,63.0
3147,166.0,67.0
3149,172.0,67.0
3155,129.0,64.0
3161,200.5,61.0
3163,138.0,70.0
3165,200.5,69.25
3166,186.0,73.0
3168,148.0,62.0
3171,163.0,62.0
3172,147.0,60.0
3173,137.0,67.0
3175,114.0,64.5
3176,139.0,62.0
3178,165.5,73.0
3182,148.0,64.0
3189,191.0,71.0
3191,169.0,68.0
3199,129.0,65.0
3205,194.0,71.0
3212,156.0,64.0
3230,123.0,64.0
3235,151.0,64.0
3237,146.0,65.0
3238,161.0,67.0
3239,146.0,69.0
3244,218.0,69.0
3245,166.0,71.0
3247,188.0,69.0
3250,195.0,72.0
3253,116.0,65.0
3260,240.0,72.0
3262,107.0,64.0
3264,160.0,67.0
3267,142.0,68.0
3268,169.0,63.0
3273,118.0,63.0
3274,151.0,67.0
3278,121.0,65.0
3279,114.5,65.0
3284,115.0,62.0
3286,119.0,72.0
3291,176.0,69.0
3296,169.0,64.0
3301,241.0,64.0
3303,168.0,69.0
3329,163.0,67.0
3331,205.0,68.0
